ssdl:pid,ssdl:scoringSummary,ssdl:totalScoring,ssdl:dimensions
1903-Reviva-EMU,"V (5), Coro di fanciulli, Coro, keyb","S (2)
A (2)
T
Coro di fanciulli 1: S (2)
(Coro di fanciulli 2: S)
Coro S
Coro di fanciulli A (2)
Coro A
Coro T
Coro B
keyb",
1904-Baptis-EMU,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",
1904-Glorio-EMU,"V (4), Coro, org (pf)","S
A
T
B
Coro S
Coro A
Coro T
Coro B
org (pf)",
1905-Fillmo-EMU,"V (2), Coro, vl, keyb","S
T
Coro di fanciulli S (2)
Coro S
Coro A
Coro T
Coro B
vl
keyb",
1905-Gloria-EMU,"V (2), Coro, tr (3), org","S
A
Coro S
Coro A
Coro T
Coro B
tr (3)
org",
1905-Method-EMU,"V (4-6), Coro, tr (3), org","S (1-2)
A
(Contra-A)
T
B
Coro S
Coro A
Coro T
Coro B
tr (3)
org",21.5 x 15 cm
1905-Salvat-EMU,,,
1907-Truthi-EMU,"V (2), Coro, keyb","S
T
Coro S
Coro A
Coro T
Coro B
keyb",
1908-Alexa1-EMU,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",
1908-Alexa2-EMU,"V (2), Coro, pf","S
A
Coro S
Coro A
Coro T
Coro B
pf",
1908-Chris2-EMU,"V (2), Coro di fanciulli, Coro, keyb","S
A
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",
1908-Crowni-EMU,"V (2), Coro, keyb","S
T
Coro S
Coro A
Coro T
Coro B
keyb",
1908-Friend-EMU,,,
1908-Fullof-EMU,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",
1908-Hymnsa-EMU,,,
1908-Joyand-EMU,"V (4), Coro, tr, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
tr
i
org
keyb",
1908-Oliver-EMU,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",
1908-Sbirka-EMU,,,
1908-Songso-EMU,,,
1912-Songso-EMU,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",
1908-Songse-EMU,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",
1909-Christ-EMU,,,
1909-Method-EMU,"Coro, keyb","Coro S
Coro A
Coro T
Coro B
keyb",
1909-Newhym-EMU,"V (2), Coro, (org) keyb","S
(A)
Coro S
Coro A
Coro T
Coro B
(org)
keyb",
1909-Servic-EMU,"V (3), Coro, keyb","(S)
(A)
(T)
Coro S
Coro A
Coro T
Coro B
keyb",
1909-Tillma-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S (2)
Coro A (2)
Coro T (2)
Coro B
keyb",
1909-Unionh-EMU,"V (3), Coro, (keyb)","S
A
T
Coro S
Coro A
Coro T
Coro B
(org)
(pno)",
1909-Vaugha-EMU,"V (7), Coro, keyb","S (2)
A 
T (2)
B (2)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: Contra-A
Coro 1: T
Coro 2: T
Coro 1: Bariton
Coro 1: B
Coro 2: B
keyb",
1910-Assemb-EMU,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
keyb",
1910-Exulta-EMU,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli 1: S
Coro di fanciulli 2: S
(Coro di fanciulli 1: A) 
keyb",
1910-Missio-EMU,Nil,Nil,
1910-Reviva-EMU,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",
1910-Songsf-EMU,"V (3), Coro di fanciulli, Coro, keyb","S
A
T
Coro di fanciulli 1: S
Coro di fanciulli 1: S
Coro S
Coro di fanciulli 1: A
Coro di fanciulli 2: A
Coro A
Coro T
Coro B
keyb",
1910-Songst-EMU,"V (4), Coro, pf (org)","S
A
T
B
Coro S
Coro A
Coro T
Coro B
pf (org)",20 x 13 cm
1910-Victor-EMU,,,
1911-Evange-EMU,,,
1911-Himnar-EMU,,,
1911-Newson-EMU,,,
1910-Psalms-EMU,,,
1911-Songso-EMU,,,
1911-Spirit-EMU,,,
1911-Youngp-EMU,,,
1912-Charmi-EMU,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",
1912-Evange-EMU,Coro,"Coro S
Coro A
Coro T
Coro B",
1912-Hearth-EMU,"V (3), Coro, keyb","S
A
T
Coro 1: S
Coro 2: S
Coro A
Coro T (2)
Coro B (2)
keyb",
1912-Little-EMU,Coro,"Coro S
Coro A
Coro T
Coro B",
1912-Newlyr-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",
1912-Sacred-EMU,,,
1912-Songs1-EMU,,,
1912-Songs2-EMU,"V (4), Coro di fanciulli, Coro, keyb","S
Treble (Bariton)
(A)
T
B
Coro di fanciulli Treble
Coro Treble
Coro di fanciulli A
Coro A
Coro T (2)
Coro B (2)
keyb",
1912-Songs3-EMU,"V (3-4), Coro, (orch), org (pf)","S
A
T
(B)
Coro S
Coro A
Coro T
Coro B
(vl 2)
(vla)
(vlc)
(cb)
(fl)
(ob)
(cl 2)
(cl in C)
(saxofono in C)
(cor)
(kornetto in C)
tr (3)
(t-trb)
(trb)
tamb
org (pf)",
1912-Songs4-EMU,"V (4-5), Coro di fanciulli, Coro, keyb","S
(Mezzo-S)
A
T
B
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro 3: S
Coro 1: A
Coro 2: A
Coro 3: A
Coro 1: T
Coro 2: T
Coro 3: T
Coro 1: B
Coro 2: B
Coro 3: B
keyb",
1912-Sunday-EMU,"V (5-6), Coro di fanciulli, Coro, keyb","S
A
(Contra-A)
T
Bariton
B
Coro di fanciulli S
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",
1913-Loyalt-EMU,"(S), Coro, keyb","(S)
Coro S
Coro A
Coro T
Coro B
keyb",
1913-Ourcho-EMU,"V (3), Coro di fanciulli, keyb","S
A
T
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",
1913-Planta-EMU,"V (2), Coro, keyb","V
S
Coro S (2)
Coro A (2)
Coro T (2)
Coro B
keyb",
1913-Sacred-EMU,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",
1914-CrownH-EMU,"V (6), Coro di fanciulli, Coro, keyb","S
A
T (2)
B (2)
Coro di fanciulli 1: S
Coro di fanciulli 1: S
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",
1914-Downat-EMU,"V (5), Coro, (campana), keyb","S
A
T
Bariton
B
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro S
Coro A
Coro T
Coro B
(campana)
keyb",
1914-Hymnso-EMU,"V (5-7), Coro di fanciulli, Coro, keyb","S
Mezzo-S
A
T (1-2)
Bariton
(B)
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",
1914-Immanu-EMU,"V (3), Coro di fanciulli, Coro, keyb","S
A
T
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",
1914-Newsac-EMU,"V (8), Coro maschile, keyb","S (2)
A (2)
T (2)
B (2)
Coro maschile T (2)
Coro maschile B (2)
keyb",
1914-Onehun-EMU,,,
1914-Praise-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S (2)
Coro A
Coro T (1-2)
Coro B (1-2)
keyb",
1915-Crowns-EMU,"V (3), Coro di fanciulli, Coro, keyb","S
A
T
Coro di fanciulli S
Coro S
(Coro di fanciulli A)
Coro A
Coro T
Coro B
keyb",
1915-Gospel-EMU,,,
1915-Herald-EMU,"V (3), Coro di fanciulli, Coro, keyb","S
A
T
Coro di fanciulli S
Coro 1: S
Coro 2: S
Coro A
Coro T
Coro B
keyb",
1915-Praise-EMU,"V (6), Coro, keyb","S
A
T (2)
B (2)
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",
1915-Select-EMU,,,
1915-Songs1-EMU,,,
1915-Songs2-EMU,,,
1915-Songs3-EMU,,,
1915-Sparkl-EMU,,,
1916-Childs-EMU,,,
1916-Happyg-EMU,,,
1916-Hispra-EMU,"V (7), Coro di fanciulli, Coro, keyb","S 
A 
T (2)
Bariton (Contra-A)
B (2)
Coro di fanciulli S 
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
keyb",
1916-Montre-EMU,"V (3), Coro, keyb","S
A
T
Coro 1: S (1-2)
Coro 2: S
Coro A
Coro T (2)
Coro B (2)
keyb",
1916-Newhar-EMU,"V (2), Coro, b","Treble
T
Coro Treble
Coro A (Counter)
Coro T (Air)
Coro B
b",
1916-Select-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",
1916-Songso-EMU,"V (6), Coro, keyb","S (2) 
A (2)
T
B
Coro S
Coro A
Coro T
Coro B
keyb",
1916-Treasu-EMU,"V, Coro, keyb","V
Coro S
Coro A
Coro T
Coro B
keyb",
1917-Evange-EMU,"Coro, tr (3), org","Coro S
Coro A
Coro T
Coro B
tr (3)
org",
1917-Hymnar-EMU,,,
1917-Lifean-EMU,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro S (1-2)
Coro A
Coro T
Coro B
keyb",
1917-Missio-EMU,Nil,Nil,
1917-Select-EMU,"V (3-4), Coro, keyb","S
A
T
(B)
Coro 1: S
Coro 2: S
Coro 1: A (2)
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",
1917-Songso-EMU,"V (3-6), Coro di fanciulli, Coro, keyb","S
A
T (1-2)
(B (2))
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",
1917-Treasu-EMU,"V (3-4), Coro, (orch), keyb","S
A
T
(B)
Coro di fanciulli S
Coro S
Coro A
Coro T (2)
Coro B (2)
(vl 2)
(vla)
(vlc)
(cb)
(cl 2)
(fl)
(kornetto 2)
(cor)
(trb)
(b-trb)
keyb",
1917-Wonder-EMU,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T (2)
Coro 2: T
Coro 1: B (2)
Coro 2: B
keyb",
1918-Echoes-EMU,"V (6), Coro, keyb","S
A
T (2)
B (2)
Coro S
Coro A
Coro T
Coro B
keyb",
1918-Popula-EMU,"V (3-4), Coro di fanciulli, Coro, keyb","S
A
T
(B)
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
keyb",
1918-Reviva-EMU,"V (3-4), Coro, keyb","S
A
T
(B)
Coro S
Coro A
Coro T
Coro B
keyb",
1918-Rodehe-EMU,,,
1918-Temple-EMU,,,
1918-Tribut-EMU,"V (6), Coro di fanciulli, Coro, keyb","S
A
T (2)
B (2)
Coro di fanciulli S
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",
1918-Worldr-EMU,,,
1919-Founda-EMU,,,
1919-Hampto-EMU,,,
1919-Highwa-EMU,"V (4-6), Coro, pf, org","S
A
T (1-2)
B (1-2)
Coro di fanciulli S
Coro S
Coro A
Coro T (2)
Coro B (2)
pf
org",
1919-Hymnal-EMU,,,
1919-Reviva-EMU,,,
1919-Sacred-EMU,"Coro di fanciulli, pf","Coro di fanciulli S
pf",
191x-Canaan-EMU,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",
191x-Confer-EMU,"V (2-3), Coro, keyb","S
A
(T)
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",
191x-Diadem-EMU,,,
191x-Favori-EMU,"V (2), Coro, keyb","A
T
Coro S
Coro A
Coro T
Coro B
keyb",
191x-Gospel-EMU,,,
191x-Reviva-EMU,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro S
Coro A (2)
Coro T (2)
Coro B (2)
keyb",
1920-Songs1-EMU,"V (4-5), Coro di fanciulli, Coro, keyb","S
A
T
Bariton
(B)
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T (2)
Coro B (2)
keyb",
1920-Songs2-EMU,"V (3), Coro, vl, keyb","S
A
T
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
vl 
keyb",
1921-Church-EMU,Coro,"S
A
T (2)
B (2)",
1921-Gospel-EMU,"V (3-4), Coro di fanciulli, Coro, keyb","S
A
T
(B)
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
keyb",
1921-Greats-EMU,"V (3), Coro di fanciulli, Coro, keyb","S
A
T
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
keyb",
1921-Kingdo-EMU,"V (3), Coro di fanciulli, Coro, keyb","S
A
T
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
keyb",
1921-Reviva-EMU,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",
1921-Songsa-EMU,"T, Coro","T
Coro S
Coro A
Coro T
Coro B",
1922-Hymnso-EMU,"V (3-5), Coro di fanciulli, Coro, keyb","S (1-2)
A
T
(B)
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
keyb",
1922-Junior-EMU,"A, Coro di fanciulli, Coro, keyb","A
Coro di fanciulli S (2)
Coro S
Coro A
Coro T
Coro B
keyb",
1922-Marchi-EMU,,,
1922-Reviva-EMU,,,
1922-Songso-EMU,"V (2-3), Coro, keyb","(S)
A
T
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",
1922-Tellin-EMU,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro S
(Coro di fanciulli A)
Coro A
Coro T
Coro B
keyb",
1922-Victo1-EMU,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",21.5 x 13.5 cm
1923-Bright-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",
1923-Chapel-EMU,"V (2), Coro, keyb","S (T)
A (B)
Coro S
Coro A
Coro T
Coro B
tr (3)
keyb
b",
1923-Choice-EMU,,,
1923-Crownb-EMU,,,
1923-Evange-EMU,,,
1923-Gospel-EMU,,,
1923-Hosann-EMU,"V (3-6), Coro, keyb","S
A
T (1-2)
(B (2))
Coro S
Coro A
Coro T (1-2)
Coro B (1-2)
keyb",
1923-Method-EMU,,,
1923-Praise-EMU,,,
1923-Rodehe-EMU,,,
1923-Search-EMU,"V (6), Coro, pf","S (2)
A (2)
T
B
Coro S 
Coro A (2)
Coro T (2)
Coro B (2)
pf",
1923-Servic-EMU,,,
1923-Songso-EMU,,,
1924-Baptis-EMU,"V (6-8), Coro, tr (3), org","S (2)
A (2)
T (1-2)
B (1-2)
Coro S (2)
Coro A (2)
Coro T (2)
Coro B (2)
tr (3)
org",
1924-Bestre-EMU,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",
1924-Christ-EMU,"V (4), Coro, tr (3), keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
tr (3)
keyb",
1924-Harves-EMU,,,
1924-Praise-EMU,"V (3-4), Coro, keyb","S
(A)
Contra-A (Bariton)
T
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",
1925-Colema-EMU,,,
1925-Faithi-EMU,,,
1925-Gloryc-EMU,,,
1925-Homego-EMU,,,
1925-Little-EMU,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",
1925-Sacred-EMU,"V (5-6), Coro, keyb","S
A
Contra-A
T
(Bariton)
B
Coro S
Coro A
Coro T
Coro B
keyb",
1925-Songs1-EMU,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",
1868-Silver-UKY,,,19.5 x 13.5 cm
1876-NewHar-UKY,"V (4), Coro","S
A
T
B
Coro S
Coro A
Coro T
Coro B",16 x 25 cm
1879-Shinin-UKY,"V (2), Coro di fanciulli, Coro, keyb","S
A
Coro di fanciulli S
Coro S
(Coro di fanciulli A)
Coro A
Coro T
Coro B
keyb",18 x 14.5 cm
1886-Royalp-UKY,,,17 x 24.5 cm
1895-Salvat-UKY,"V (10), Coro di fanciulli, Coro, keyb","S
A
T (4)
B (4)
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro 1: S
Coro 2: S
(Coro 3: S)
Coro di fanciulli 1: A
Coro di fanciulli 2: A
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",20.5 x 14.5 cm
1896-Praise-UKY,"V (3), Coro, keyb","S
A
T
(Coro di fanciulli S)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",21 x 15.5 cm
1896-Reviva-UKY,"V (3), Coro di fanciulli, Coro, keyb","S
A
T
Coro di fanciulli S
Coro 1: S
Coro 2: S
(Coro di fanciulli A)
Coro 1: A (2)
Coro 2: A
Coro 1: T (2)
Coro 2: T
Coro 1: B
Coro 2: B
keyb",19.5 x 13.5 cm
1899-Sacred-UKY,"Coro, keyb","Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",21 x 14 cm
1911-Redemp-UKY,,,19.5 x 14 cm
1919-Praise-UKY,,,19.5 x 13.5 cm
1873-Sunshi-UKY,"V (26), Coro di fanciulli, Coro, pf","S (23)
A
T
B
Sprechstimme
Coro di fanciulli S
Coro S
Coro di fanciulli A
Coro A
Coro T
Coro B
pf",13.5 x 17.5 cm
1875-Starry-UKY,Coro,"Coro S
Coro A
Coro T
Coro B
(keyb)",13.5 x 18.5 cm
1883-Spirit-UKY,,,20 x 14 cm
1885-Zionso-UKY,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",14.5 x 18 cm
1896-Soulwi-UKY,"V (6), Coro di fanciulli, Coro, keyb","S
A
T (2)
B (2)
Coro di fanciulli S
Coro 1: S
Coro 2: S
(Coro di fanciulli A)
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",21 x 14.5 cm
1903-Standa-UKY,"Coro, keyb","Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 14 cm
1910-Zionme-UKY,"(V), Coro, keyb","(S)
(A)
(T)
(B)
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 14 cm
1911-Spirit-UKY,,,22 x 16 cm
1912-Songcr-UKY,"V (7), Coro, keyb","S
A
T (2)
Bariton
B (2)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T (2)
Coro 2: T
Coro 1: B (2)
Coro 2: B
keyb",19.5 x 13.2 cm
1918-Victor-UKY,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",19.5 x 13.5 cm
1923-Songso-UKY,,,19.5 x 14 cm
1895-Voice1-UKY,"V (4), Coro di fanciulli, Coro, keyb","S
A
T
B
Coro di fanciulli S
Coro S
(Coro di fanciulli A)
Coro A
Coro T
Coro B
keyb",21 x 14.5 cm
1897-Songsf-UKY,,,20.5 x 15 cm
1897-Unionh-UKY,,,18.5 x 13 cm
1901-Youngp-UKY,,,20.5 x 14.5 cm
1921-Worldw-UKY,,,20 x 13.5 cm
1923-Cokesb-UKY,,,21 x 15 cm
1891-Christ-UKY,,,22 x 16 cm
1916-Lyricd-EMU,,,20.5 x 13 cm
1903-Musica-EMU,,,22 x 15 cm
1851-Chahta-EMU,,,14 x 9 cm
1858-Sunday-EMU,,,12 x 15 cm
1862-Soldie-EMU,,,7 x 9.5 cm
1863-Soldie-EMU,,,11 x 7.5 cm
1864-Sabbat-EMU,,,14 x 10 cm
1864-Armyhy-EMU,,,12 x 7.5 cm
1878-Nation-EMU,,,13.5 x 17 cm
1877-Geschi-EMU,,,19.5 x 14 cm
1882-Collec-EMU,,,16 x 11 cm
1887-Nation-EMU,,,17 x 25 cm
1892-Hampto-EMU,,,14.5 x 11.5 cm
1895-Poems-EMU,Nil,Nil,19.5 x 14 cm
1898-Africa-EMU,,,
1899-Hymnbo-EMU,,,13.5 x 8.5 cm
188x-Songse-EMU,,,15 x 11 cm
18xx-Jubile-EMU,,,
1900-Songso-EMU,,,22.5 x 16.5 cm
1901-Pearls-EMU,,,20.5 x 14.5 cm
1905-Negroe-EMU,Nil,Nil,21 x 13.5 cm
1907-Calhou-EMU,,,26.5 x 16.5 cm
1909-Calhou-EMU,Coro,"Coro S
Coro A
Coro T
Coro B",17.5 x 10 cm
1909-Religi-EMU,,,22 x 14 cm
1910-Burnin-EMU,,,23 x 15.5 cm
1913-Hymnal-EMU,,,15 x 10 cm
1914-AfroAm-EMU,,,23 x 15 cm
1915-Songso-EMU,"V (4), Coro, keyb","S
A
T
B
Coro S
Coro A
Coro T
Coro B
keyb",22.5 x 14.5 cm
1916-Afterf-EMU,"(S), Coro, org","(S)
Coro S
Coro A
Coro T
Coro B
org",23 x 15 cm
191x-Praise-EMU,,,21 x 14 cm
1921-Univer-EMU,Nil,Nil,14 x 9 cm
1923-Nation-EMU,"V (3), Coro","S
A
T
Coro S
Coro A
Coro T
Coro B",22.5 x 15.5 cm
192x-JRosam-EMU,,,16 x 9 cm
1928-Americ-EMU,Nil,Nil,24.5 x 16.5 cm
19xx-Americ-EMU,,,24.5 x 17 cm
19xx-Himnos-EMU,,,18.5 x 12 cm
xxxx-Keepmy-EMU,,,20 x 13 cm
xxxx-Select-EMU,,,21.5 x 14.5 cm
189X-Songss-EMU,,,16 x 12 cm
19xx-Thisbo-EMU,,,26 x 17.5 cm
1906-Newpra-MTS,,,21 x 15 cm
1921-Salvat-MTS,,,21 x 14.5 cm
1893-Spirit-MTS,,,22 x 15 cm
1897-Riches-MTS,,,21.5 x 14.5 cm
1910-Tearsa-MTS,"V (2-4), Coro, keyb","S
A
(T)
(B)
Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 14 cm
1900-Gemsxx-MTS,,,20 x 14 cm
1905-Gleani-MTS,,,21.5 x 14 cm
1923-Cheerf-MTS,"V (6), Coro, keyb","S (2)
A (2)
T
B
Coro S
Coro A
Coro T (2)
Coro B (2)
keyb",19.5 x 13.5 cm
1921-Gospe2-MTS,"V (6), Coro di fanciulli, Coro, org","S
A
T (2)
B (2)
Coro di fanciulli S
Coro S
Coro A
Coro T
Coro B
org",
1899-Reviva-MTS,"V (4), Coro, keyb","S
A
T
B
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",20.5 x 14 cm
1904-Resurr-MTS,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 13.5 cm
1881-Gospel-MTS,"V (2), Coro, keyb","S
A
Coro S
Coro A
Coro T
Coro B
keyb",20.5 x 13.5 cm
1907-Reviva-MTS,,,20 x 13.5 cm
1900-Fillmo-MTS,,,20 x 14 cm
1902-Songsf-MTS,,,19.5 x 14 cm
1897-Psalms-MTS,,,22 x 16.5 cm
1899-Gladti-MTS,,,21 x 14.5 cm
1900-Bright-MTS,,,20.5 x 14 cm
1895-Showal-MTS,"V (4), Coro maschile","T (2)
B (2)
Coro maschile T (2)
Coro maschile B (2)",19.5 x 15 cm
1922-Echoes-MTS,"V (3), Coro, keyb","S 
(A)
T 
B 
Coro S 
Coro A 
Coro T (2) 
Coro B (2) 
pf",20 x 13.5 cm
1925-Comple-MTS,,,20 x 13.5 cm
1906-Vaugha-MTS,,,19.5 x 13.5 cm
1909-Gospel-MTS,,,19.5 x 13.5 cm
xxxx-Worldf-MTS,,,27.5 x 20 cm
1912-Joyful-MTS,"Coro, keyb","Coro S
Coro A
Coro T
Coro B
keyb",21 x 14 cm
1919-Tiding-MTS,"V (3), Coro, keyb","S
Mezzo-S
T
Coro S
Coro A
Coro T
Coro B
keyb",21.5 x 14.5 cm
1922-Bethle-MTS,"V (2-4), Coro, keyb","S 
(A)
(T)
B
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 13.5 cm
1921-Fromth-MTS,"V (3), Coro, keyb","S
A
T
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 14 cm
1905-Search-MTS,,,18.5 x 14 cm
1892-Highwa-MTS,"V (2), Coro di fanciulli, Coro, keyb","S
A
Coro di fanciulli 1: S
Coro di fanciulli 2: S
Coro S
Coro di fanciulli 1: A
Coro di fanciulli 2: A
Coro A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",14.5 x 18.5 cm
1891-Childr-MTS,"V (2), Coro di fanciulli, Coro, keyb","S
A
Coro di fanciulli S 
Coro S
(Coro di fanciulli A)
Coro A
Coro T
Coro B
keyb",14.5 x 18.5 cm
1906-Oldsto-MTS,"V (3-4), Coro, keyb","S
A
T
(B)
Coro S
Coro A
Coro T
Coro B
keyb",19.5 x 13.5 cm
1916-Tiding-MTS,"V (6), Coro di fanciulli, Coro, keyb","S
A
T (2)
B (2)
Coro di fanciulli S
Coro S (1-2)
Coro di fanciulli A
Coro A
Coro T (1-2)
Coro B (1-2)
keyb",26 x 13.5 cm
1900-Gloryc-MTS,,,19.5 x 13.5 cm
1903-Joyful-MTS,,,20.5 x 13.5 cm
1900-Sunday-MTS,,,20.5 x 14.5 cm
1923-Eightn-MTS,,,30.5 x 24 cm
1923-Christ-MTS,"S, Bariton, Coro, org","S
Bariton
Coro S
Coro A
Coro T
Coro B
org",26.5 x 18 cm
1894-Shiloh-MTS,,,22.5 x 15.5 cm
1890-Gemsan-MTS,"V (5), Coro di fanciulli, Coro, keyb","S (2)
A
T
B
Coro di fanciulli S
Coro 1: S
Coro 2: S
(Coro di fanciulli A)
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
keyb",14 x 18 cm
1923-NewHar-MTS,,,17.5 x 24 cm
1886-Noteso-MTS,,,15 x 19 cm
1863-Church-MTS,,,15.5 x 24.5 cm
1877-Newcas-MTS,"V (5), Coro, keyb, b.fig","S (2)
A
T
B
Coro 1: S
(Coro 2: S)
Coro 1: A
(Coro 2: A)
Coro 1: T
(Coro 2: T)
Coro 1: B
(Coro 2: B)
keyb
b.fig",17.5 x 25.5 cm
1873-Triump-MTS,"V (5), Coro, (fl), pf (org)","Treble (2)
A
T
B
Coro 1: Treble
(Coro 2: Treble)
Coro A
Coro T (2)
Coro B (2)
(fl)
pf (org)",16.5 x 24.5 cm
1885-Noteso-MTS,"V (3-5), Coro, org","S (2)
A
(T)
(B)
Coro 1: S
Coro 2: S
Coro 1: A
Coro 2: A
Coro 1: T
Coro 2: T
Coro 1: B
Coro 2: B
org",14 x 17 cm
1892-Glorio-MTS,,,18 x 25 cm
1866-Christ-MTS,,,16.5 x 25 cm
1857-Church-MTS,Nil,Nil,14 x 8 cm
1847-Collec-EMU,,,
1849-Sacred-EMU,,,17 x 25 cm
1855-Collec-EMU,,,12 x 7.5 cm
1859-Collec-EMU,,,14 x 9 cm
1860-Baptis-EMU,,,20 x 14 cm
1874-Fillmo-EMU,,,17.5 x 14 cm
1882-Sweetf-EMU,"V (2), Coro di fanciulli, Coro, keyb","S
A
Coro di fanciulli S
Coro S
(Coro di fanciuli A)
Coro A
Coro T (2)
Coro B (2)
keyb",21 x 14 cm
