PID,ssdl:notation,location,Date,ssdl:shortTitle,Long,Lati
1924-Heave2-MTS,Seven-shape Aikin,"Greenville, SC",1924,Heavenly Light No. 2,-82.3833,34.85
1924-Heave1-MTS,Seven-shape Aikin,"Athens, GA",1924,Heavenly Echoes No. 8,-83.3667,33.95
1924-Gospel-MTS,Seven-shape Aikin,"Dallas, GA; Ty Ty, GA; Dothan, AL",1924,The Gospel Message,-96.8;-83.6333;-85.3833,32.7833;31.4667;31.2167
1924-Easter-MTS,Round,"Baltimore, MD",1924,Easter Gladness,-76.6,39.2833
1924-Collec-MTS,Round,"New York, NY",1924,A Collection of 25 Selected Famous Negro Spirituals,-74,40.7
1924-Christ-MTS,Seven-shape Aikin,"Chattanooga, TN",1924,Christ Exalted in Song,-85.3,35.0333
1924-Allfor-MTS,Seven-shape Aikin,"Birmingham, AL",1924,All For Christ,-86.8,33.5167
1923-Songla-MTS,Seven-shape Aikin,"Little Rock, AR;Athens, GA",1923,Song-land Echoes,-92.2833;-83.3667,34.7333;33.95
1923-Select-MTS,Seven-shape Aikin,"Louisville, KY",1924,Select Songs of Praise,-85.75,38.25
1923-Newmel-MTS,Seven-shape Aikin,"Asheville, NC;Sulphur Springs, TX",1923,New Melodies,-82.55;-95.6,35.6;33.1333
1923-Kingof-MTS,Round,"Cincinnati, OH",1923,King of Kings,-84.45,39.15
1923-Junior-MTS,Round,"St. Louis, MO",1923,The Junior Hymnal,-90.1833,38.6167
1923-Callch-MTS,Seven-shape Aikin,"Corinth, MS",1923,The Call,-88.5167,34.9333
1923-Awaken-MTS,Seven-shape Aikin,"Lawrenceburg, TN",1923,Awakening Praises,-87.3333,35.2333
1922-Songso-MTS,Seven-shape Aikin,"Chattanooga, TN;Plant City, FL",1922,Songs of Our Saviour,-85.3;-82.1,35.0333;28.0167
1922-Revive-MTS,Round,"Dallas, TX;Chattanooga, TN",1922,Revive Us,-96.8;-85.3,32.7833;35.0333
1922-Ninety-MTS,Seven-shape Aikin;Round,"Trion, GA",1922,Ninety and Nine Living Songs,-85.3,34.5333
1922-Hymnsw-MTS,Round,"Chattanooga, TN",1922,Hymns Worthy,-85.3,35.0333
1922-Hallel-MTS,Seven-shape Aikin,"Lawrenceburg, TN",1922,Hallelujahs,-87.3333,35.2333
1922-Glorys-MTS,Seven-shape Aikin,"Waco, TX;Memphis, TN",1922,Glory Songs,-97.1333;-90.0333,31.5333;35.1333
1922-Beulah-MTS,Seven-shape Aikin,"Asheville, NC",1922,Beulah Songs,-82.55,35.6
1927-Vaugha-MTS,Seven-shape Aikin,"Lawrenceburg, TN",1921,Vaughan's Concert Quartet Book,-87.3333,35.2333
1921-Songsf-MTS,Round,"Nashville, TN;Dallas, TX;Richmond, VA",1921,Songs for the Sunday School,-86.761;-96.8;-77.45,36.154;32.7833;37.55
1921-Reviva-MTS,Seven-shape Aikin,"Dayton, VA",1921,Revival Gems,-78.9333,38.4
1921-Musict-MTS,Seven-shape Aikin,"Hudson, NC",1921,Music That Wins,-81.4833,35.8333
1921-Glorye-MTS,Seven-shape Aikin,"Asheville, NC;Comanche, TX",1921,Glory Echoes,-82.55;-98.6,35.6;31.8833
1921-Glorio-MTS,Seven-shape Aikin,"Saltillo, MS;Springfield, MO;Dallas, TX;Pell City, AL",1921,Glorious Praise,-88.6667;-93.2833;-96.8;-86.2833,34.3667;37.2;32.7833;33.5833
1921-Elmhur-MTS,Round,"St. Louis, MO;Chicago, IL",1921,Elmhurst Hymnal and Orders of Worship,-90.1833;-87.65,38.6167;41.85
1921-Alexan-MTS,Round,"Philadelphia, PA",1921,Alexander's Hymns No. 4,-75.15,39.95
1920-Songs3-MTS,Round,"Atlanta, GA",19XX,Songs of the South,-84.3833,33.7333
1920-Songs1-MTS,Round,"Atlanta, GA",1920,Songs of Redemption,-84.3833,33.7333
1920-Songan-MTS,Seven-shape Aikin,"Basic, VA",1920,Song and Story,-78.8741901,38.0709693
1920-Practi-MTS,Seven-shape Aikin,"Dayton, VA",1920,The Practical Music Reader No. 2,-78.9333,38.4
1920-Newper-MTS,Round,"Lawrenceburg, TN",1920,New Perfect Praise,-87.3333,35.2333
1920-Highwa-MTS,Seven-shape Aikin,"Dalton, GA;Dallas, TX;Chattanooga, TN",1920,The Highway of Song,-84.9667;-96.8;-85.3,34.7667;32.7833;35.0333
1920-Heaven-MTS,Seven-shape Aikin,"Athens, GA",1920,Heavenly Echoes No. 5,-83.3667,33.95
1918-Harves-MTS,Seven-shape Aikin,"Altanta, GA",1920,Harvest Carols,-84.3833,33.7333
1920-Evange-MTS,Seven-shape Aikin,"Knoxville, TN;Little Rock, AR",1920,Evangel Light,-83.9167;-92.2833,35.95;34.7333
1920-Bellso-MTS,Seven-shape Aikin,"Waco, TX;Memphis, TN",1920,Bells of Bethlehem,-97.1333;-90.0333,31.5333;35.1333
1919-Trutha-MTS,Seven-shape Aikin,"Hudson, NC",1919,Truth and Hope,-81.4833,35.8333
1919-Songso-MTS,Seven-shape Aikin,"Dayton, TN",1919,Songs of Revival Power,-85,35.4833
1919-Crowns-MTS,Seven-shape Aikin,"Dalton, GA;Dallas, TX;Chattanooga, TN",1919,Crowns of Love,-84.9667;-96.8;-85.3,34.7667;32.7833;35.0333
1919-Carols-MTS,Seven-shape Aikin,"Waco, TX;Memphis, TN",1919,Carols of Peace,-97.1333;-90.0333,31.5333;35.1333
1914-Victor-MTS,Seven-shape Aikin,"Bethlehem, GA",1914,Victory Bells,-83.7,33.9167
1918-Towner-MTS,Round,"Chicago, IL",1918,Towner's Male Quartettes,-87.65,41.85
1919-Shinin-MTS,Seven-shape Aikin,"Belmont, MS",1918,Shining Gems for Jesus,-88.2,34.5
1918-Reviv2-MTS,Round,"Dalton, GA;Dallas, TX;Chattanooga, TN",1918,Revival Praise,-84.9667;-96.8;-85.3,34.7667;32.7833;35.0333
1918-Reviv1-MTS,Seven-shape Aikin,"Fort Worth, TX",1918,Revival Power,-97.3167,32.7167
1918-Planta-MTS,Round,"Chicago, IL;Philadelphia, PA",1918,Rodeheaver's Plantation Melodies,-87.65;-75.15,41.85;39.95
1918-Heaven-MTS,Seven-shape Aikin,"Lawrenceburg, TN",1918-Heaven-MTS,Heavenly Voices,-87.3333,35.2333
1918-Gladne-MTS,Seven-shape Aikin,"Hudson, NC",1918,Glad News No. 2,-81.4833,35.8333
1918-Beauti-MTS,Seven-shape Aikin,"Saltillo, MS;Pell City, AL;St. Louis, MO;Springfield, MO;Pleasant Point, TN",1918,Beautiful Showers of Praise,-88.6667;-87.3667;-93.2833;-86.2833;-90.1833,34.3667;35.1333;37.2;33.5833;38.6167
1917-Servic-MTS,Round,"New York, NY",1917,The Service Song Book,-74,40.7
1917-Praise-MTS,Seven-shape Aikin,"Lawrenceburg, TN",1917,Praise Divine,-87.3333,35.2333
1917-Nearth-MTS,Seven-shape Aikin,"Hudson, NC",1917,Near The Cross,-81.4833,35.8333
1917-Modern-MTS,Seven-shape Aikin,"Lawrenceburg, TN",1917,The Modern Singer,-87.3333,35.2333
1917-Guidin-MTS,Seven-shape Aikin,"Waco, TX;Memphis, TN;Asheville, NC",1917,The Guiding Star,-97.1333;-90.0333;-82.55,31.5333;35.1333;35.6
1917-Glorye-MTS,Seven-shape Aikin,"Bessemer, AL",1917,Glory Evangel,-86.95,33.4
1917-Garden-MTS,Seven-shape Aikin;Round,"Basic, VA",1917,Garden of Song,-78.8833,38.0667
1917-Eureka-MTS,Seven-shape Aikin,nan,1917,The Eureka Songster,0,0
1916-Praise-MTS,Seven-shape Aikin,"Dalton, GA;Dallas, TX;Chattanooga, TN",1916,Praise and Thanksgiving,-84.9667;-96.8;-85.3,34.7667;32.7833;35.0333
1916-Gleane-MTS,Seven-shape Aikin,"Waco, TX;Memphis, TN",1916,The Gleaner,-97.1333;-90.0333,31.5333;35.1333
1916-Gladne-MTS,Seven-shape Aikin,"Hudson, NC",1916,Glad News,-81.4833,35.8333
1915-Soulwi-MTS,Seven-shape Aikin,"Lawrenceburg, TN",1915,Soul-Winning Songs,-87.3333,35.2333
1915-Songso-MTS,Round,"Cincinnati, OH",1915,Songs of Mounting Up No. 2,-84.45,39.15
1915-Immanu-MTS,Seven-shape Aikin,"McRae, GA",1915,Immanuel's Harvester,-82.9,32.0667
1915-Heaven-MTS,Seven-shape Aikin,"Athens, GA",1915,Heavenly Echoes 4,-83.3667,33.95
1915-HamRam-MTS,Round,"Chattanooga, TN",1915,The Ham-Ramsay Revival Hymns,-85.3,35.0333
1915-Carolc-MTS,Seven-shape Aikin,"Lawrenceburg, TN",1915,Carol Crown,-87.3333,35.2333
1914-Tenles-MTS,Round;Seven-shape Aikin,"Lawrenceburg, TN",1914,Ten Lessons in Singing,-87.3333,35.2333
1914-Praise-MTS,Round,"Springfield, Missouri",1914,Praise,-93.2833,37.2
1914-Perenn-MTS,Seven-shape Aikin,"Dalton, GA;Dallas, TX;Chattanooga, TN",1914,Perennial Praise,-84.9667;-96.8;-85.3,34.7667;32.7833;35.0333
1914-Eureka-MTS,Seven-shape Aikin,"Stigler, OK;Oneonta, AL;Morristown, TN;Seymour, TX",1914,Eureka Jewels,-95.1167;-86.4667;-83.2833;-99.25,35.25;33.9333;36.2;33.5833
1913-Worlde-MTS,Seven-shape Aikin,"Dallas, TX",1913,The World Evangel,-96.8,32.7833
1913-Redemp-MTS,Seven-shape Aikin,"Nashville, TN",1913,Redemption Songs,-86.761,36.154
1913-Planta-MTS,Round,"Philadelphia, PA",1913,Plantation Melodies and Spiritual Songs,-75.15,39.95
1913-Newson-MTS,Seven-shape Aikin,"Lenoir, NC",1913,New Songs of Praise,-81.5333,35.9
1913-Gospel-MTS,Seven-shape Aikin,"Lawrenceburg, TN",1913,Gospel Hosannas,-87.3333,35.2333
1912-Window-MTS,Seven-shape Aikin,"Athens, GA",1912,Windows of Heaven No. 10.,-83.3667,33.95
1912-Sunnys-MTS,Seven-shape Aikin,"Dalton, GA;Dallas, TX",1912,The Sunny South Quartet Book,-84.9667;-96.8,34.7667;32.7833
1912-Songso-MTS,Round,"Cincinnati, OH",1912,Songs of Might,-84.45,39.15
1912-Songan-MTS,Round,"New York, NY;Cincinnati, OH",1912,Song and Study.,-74;-84.45,40.7;39.15
1912-Newrev-MTS,Seven-shape Aikin,"Dalton, GA;Dallas, TX;Chattanooga, TN",1912,The New Revival Glory,-84.9667;-96.8;-85.3,34.7667;32.7833;35.0333
1912-Harpof-MTS,Seven-shape Aikin,"Lawrenceburg, TN",1912,Harp of Gold,-87.3333,35.2333
1912-Eureka-MTS,Seven-shape Aikin,"Stigler, OH;Carrollton, GA;Cullman, AL",1912,The Eureka Evangel,-95.1167;-85.0667;-86.8333,35.25;33.5667;34.1667
1912-Alexan-MTS,Round,"New York, NY;London, United Kingdom",1912,Alexander's Male Choir,-74;.10203,40.7;51.52393
190x-Vaugha-MTS,Seven-shape Aikin,"Athens, GA",1911,Vaughan's Quartets,-83.3667,33.95
1911-Songso-MTS,Seven-shape Aikin,"Dayton, TN",1911,Songs of the Kingdom,-85,35.4833
1911-Quarte-MTS,Seven-shape Aikin,"Fort Worth, TX",1911,Quartet Choir and Chorus,-97.3167,32.7167
1911-Jewels-MTS,Round,"Cincinnati, OH",1911,Jewels for Juniors,-84.45,39.15
1911-Crowni-MTS,Seven-shape Aikin,"Lawrenceburg, TN",1911,Crowning Praises,-87.3333,35.2333
1910-Voices-MTS,Seven-shape Aikin,"Lawrenceburg, TN",1910,Voices For Jesus,-87.3333,35.2333
1913-Happyv-MTS,Seven-shape Aikin,"Bethlehem, GA",1910,Happy Voices No. 8,-83.7,33.9167
1909-Window-MTS,Seven-shape Aikin,"Athens, GA;Mt. Sylvan, TX",1909,Windows of Heaven No. 7,-83.3667;-95.4667,33.95;32.45
1909-Newonw-MTS,Seven-shape Aikin,"Roanoke, VA;Logansport, IN",1909,New Onward and Upward,-79.9333;-86.35,37.2667;40.75
1909-Evange-MTS,Round,"Philadelphia, PA;Boston, MA;New York, NY;Chicago, IL;St. Louis, MO;Dallas, TX;Atlanta, GA",1909,The Evangel,-75.15;-71.05;-74;-87.65;-90.1833;-96.8;-84.3833,39.95;42.35;40.7;41.85;38.6167;32.7833;33.7333
1909-Cumber-MTS,Seven-shape Aikin,"Nashville, TN",1909,Cumberland Hymns,-86.761,36.154
1908-Twelft-MTS,Round,"Louisville, KY",1908,Twelfth International Sunday School Convention,-85.75,38.25
1908-Songso-MTS,Round;Seven-shape Aikin,"Cincinnati, OH",1908,Songs of Mounting Up,-84.45,39.15
1908-Gesang-MTS,,"St. Louis, MO;Chicago, IL",1908,Gesangbuch der Evangelischen Kirche,-90.1833;-87.65,38.6167;41.85
1907-Select-MTS,Round,"New York, NY;Chicago, IL;Atlanta, GA",1907,Selections from The Sacrifice of Praise,-74;-87.65;-84.3833,40.7;41.85;33.7333
1907-Pilger-MTS,Round,"Cincinnati, OH;New York, NY",1907,Pilgerkl??nge,-84.45;-74,39.15;40.7
1907-Patton-MTS,Seven-shape Aikin,"Dalton, GA;Dallas, TX",1907,Patton's Gospel Hymns,-84.9667;-96.8,34.7667;32.7833
1907-Organo-MTS,Round,"St. Louis, MO",1907,"Organ or Harmonium Accompaniment to A. R??sler's Hymnbook ""Psallite""",-90.1833,38.6167
1907-Happyd-MTS,Round,"Lawrenceburg, TN",1907,Happy Days,-87.3333,35.2333
1907-Bestof-MTS,Seven-shape Aikin,"Dayton, VA",1907,Best of All,-78.9333,38.4
1906-Starof-MTS,Seven-shape Aikin,"Blountsville, AL;West Milton, OH",1906,Star of Hope,-86.5833;-84.3167,34.0667;39.95
1906-Mehrst-MTS,Round,"St. Louis, MO",1906,Mehrstimmiges Choralbuch,-90.1833,38.6167
1906-Living-MTS,Seven-shape Aikin,"Nashville, TN",1906,Living Water Songs No. 2,-86.761,36.154
1906-Gladho-MTS,Seven-shape Aikin,"Waco, TX;Memphis, TN",1906,Glad Hosannas,-97.1333;-90.0333,31.5333;35.1333
1906-GVhymn-MTS,Seven-shape Aikin,"Columbia, TN;Cincinnati, OH;Louisville, KY",1906,The G. V. Hymnal,-87.0333;-84.45;-85.75,35.6;39.15;38.25
1905-Winnow-MTS,Seven-shape Aikin,"Bethlehem, GA",1905,Winnowed Songs,-83.7,33.9167
1905-Soulso-MTS,Round,"Waco, TX;Chattanooga, TN",1905,Soul Songs,-97.1333;-85.3,31.5333;35.0333
1905-Songs2-MTS,Seven-shape Aikin,"Waco, TX;Memphis, TN",1905,Songs of Redemption,-97.1333;-90.0333,31.5333;35.1333
1905-Songs1-MTS,Round,"New York, NY;Boston, MA;Pittsburg[h], PA;Detroit, MI;Cincinnati, OH;Chicago, IL;Kansas City, MO;San Francisco, CA",1905,Songs of Faith and Hope,-74;-71.05;-79.9833;-83.0333;-84.45;-87.65;-94.5667;-122.4167,40.7;42.35;40.4333;42.3167;39.15;41.85;39.0833;37.7667
1905-Eureka-MTS,Seven-shape Aikin,"Stigler, Indian Territory",1905,The Eureka Tidings of Joy,-95.1167,35.25
1904-Sunlig-MTS,Seven-shape Aikin,"Hot Springs, AR",1904,Sunlight Glees,-93.05,34.5
1904-Songso-MTS,Round,"Philadelphia, PA;New York, NY;Chicago, IL;St. Louis, MO;San Francisco, CA",1904,Songs of Praise Number One,-75.15;-74;-87.65;-90.1833;-122.4167,39.95;40.7;41.85;38.6167;37.7667
1904-Practi-MTS,Seven-shape Aikin,"Dayton, VA",1904,The Practical Music Reader,-78.9333,38.4
1904-Perrys-MTS,Seven-shape Aikin,"Waco, TX; Chattanooga, TN",1904,Perry's Brightest Glory,-97.1333;-85.3,31.5333;35.0333
1904-Living-MTS,Seven-shape Aikin,"Nashville, TN",1904,Living Water Songs,-86.761,36.154
1903-Hymnso-MTS,Round,"Macon, GA",1903,Hymns of Calvary,-83.6167,32.8333
1902-Primit-MTS,Seven-shape Aikin,"Luray, VA;Danville, IN",1902,Primitive Baptist Hymn and Tune Book,-78.45;-87.0833,38.65;39.25
1902-Gemsfo-MTS,Seven-shape Aikin,"Douglasville, GA",1902,Gems for the Sunday-Schools,-84.7333,33.75
1902-Favori-MTS,Round,"Kansas City, MO",1902,Favorite Anthems,-94.5667,39.0833
1902-Bibles-MTS,Seven-shape Aikin,"Cincinnati, OH",1902,Bible Songs of Salvation and Victory,-84.45,39.15
1901-Window-MTS,Seven-shape Aikin,"Bowman, GA",1901,Windows of Heaven and Simplified Theory Combined,-83.0167,34.2
1902-Songso-MTS,Seven-shape Aikin,"Dayton, VA",1901,Songs of Glory,-78.9333,38.4
1901-Psalms-MTS,Nil,"Richmond, VA",1901,The New Psalms and Hymns,-77.45,37.55
1901-Hymnso-MTS,Round,"St. Louis, MO",1901,Hymns of the Faith,-90.1833,38.6167
1900-Practi-MTS,Round,"Cincinnati, OH;New York, NY;Chicago, IL;Leipsic [Leipzig], Germany;London, England",1900,Practical Anthems: Vol. 6,-84.45;-74;-87.65;12.4167;.10203,39.15;40.7;41.85;51.3333;51.52393
1900-Pentec-MTS,Seven-shape Aikin,"Louisville, KY",1900,Pentecostal Songs,-85.75,38.25
1900-Gospel-MTS,Round,"Nashville, TN",1900,Gospel Praise,-86.761,36.154
1900-Epwort-MTS,Round,"New York, NY;Cincinnati, OH",1900,The Epworth Hymnal No. 3,-74;-84.45,40.7;39.15
1900-Dortch-MTS,Round,"Nashville, TN",1900,Dortch's Gospel Voices No. 2,-86.761,36.154
1899-Storyo-MTS,Round,"London, England",1899,The Story of the Jubilee Singers,-.093145,51.514248
1899-Psalms-MTS,Seven-shape Aikin,"West Milton, OH;Nashville, TN;Dalton, GA;Dallas, TX",1899,Psalms Hymns and Spiritual Songs Complete,-84.3167;-86.761;-84.9667;-96.8,39.95;36.154;34.7667;32.7833
1899-Highwa-MTS,Round,"Dalton, GA;West Milton, OH;Dallas, TX",1899,The Highway to Heaven,-84.9667;-84.3167;-96.8,34.7667;39.95;32.7833
1899-Gospel-MTS,Round,"Chicago, IL",1899,The Gospel Pilot Hymnal,-87.65,41.85
1898-Silver-MTS,Round,"St. Louis, MO;Indianapolis, IN",1898,Silver and Gold No. One,-90.1833;-86.15,38.6167;39.7667
1898-Golden-MTS,Round,"Dayton, OH",1898,Golden Songs,-84.1833,39.75
1898-Fillmo-MTS,Round,"Cincinnati, OH",1898,Fillmores' Jewels,-84.45,39.15
1897-Select-MTS,Seven-shape Aikin,"Dalton, GA;Dallas, TX",1897,Select revival songs,-84.9667;-96.8,34.7667;32.7833
1897-Seedso-MTS,Round,"Toledo, OH",1897,The Seed Sower,-83.55,41.65
1897-Romanh-MTS,Round,"New York, NY;Cincinnati, OH",1897,The Roman Hymnal,-74;-84.45,40.7;39.15
1897-Anthem-MTS,Round,"Cincinnati, OH;New York, NY",nan,Anthems from the Psalms,-84.45;-74,39.15;40.7
1896-Window-MTS,Seven-shape Aikin,"Bowman, GA; Mt. Sylvan, TX",1896,Windows of Heaven No. 2,-83.0167;-95.4667,34.2;32.45
1896-Anthem-MTS,Round,"Dayton, OH;New York, NY;Chicago, IL",1896,The Anthem Prize,-84.1833;-74;-87.65,39.75;40.7;41.85
1895-Songof-MTS,Round,"Cincinnati, OH;Chicago, IL;St. Louis, MO;New York, NY;Boston, MA;Pittsburg[h], PA;San Francisco, CA",1895,Songs of the Soul,-84.45;-87.65;-90.1833;-74;-71.05;-79.9833;-122.4167,39.15;41.85;38.6167;40.7;42.35;40.4333;37.7667
1895-Psalms-MTS,Seven-shape Aikin,"West Milton, OH;Bridgewater, VA;Atlanta, GA;Nashville, TN;Morgan, TX",1895,"Psalms,  Hymns, and Spiritual Songs",-84.3167;-78.9667;-84.3833;-86.761;-97.6,39.95;38.3667;33.7333;36.154;32.0167
1895-Dortch-MTS,Seven-shape Aikin,"Charlotte, NC",1895,Dortch's Gospel Voices No. 1,-80.8333,35.2167
1894-Treble-MTS,Round,"Cincinnati, OH; New York, NY; Chicago, IL; Leipsic [Leipzig], Germany; London, England",1894,The Treble Clef Choir,-84.45;-74;-87.65;12.4167;.10203,39.15;40.7;41.85;51.3333;51.52393
1894-PerleS-MTS,Round,"Cincinnati, OH; Chicago, IL; Kansas City, MO; New York, NY; Boston, MA; Pittsburg[h], PA; Detroit, MI; San Francisco, CA",1894,Die Perle.,-84.45;-87.65;-94.5667;-74;-71.05;-79.9833;-83.0333;-122.4167,39.15;41.85;39.0833;40.7;42.35;40.4333;42.3167;37.7667
1894-Lieder-MTS,Round,"St. Louis, MO",1894,Lieder-Perlen,-90.1833,38.6167
1893-Unfadi-MTS,Round,"Cincinnati, OH; Chicago, IL; St. Louis, MO; Philadelphia, PA",1893,Unfading Treasures,-84.45;-87.65;-90.1833;-75.15,39.15;41.85;38.6167;39.95
1893-Blessi-MTS,Seven-shape Aikin,"Dalton, GA",1893,Blessing and Glory,-84.9667,34.7667
1892-Whiter-MTS,Round,"Chicago, IL",1892,The White Ribbon Hymnal,-87.65,41.85
1892-Trieda-MTS,Round,"Dayton, OH",1892,Tried and True,-84.1833,39.75
1892-Songsa-MTS,Round,"Richmond, VA",nan,Songs and Solos,0,0
1892-Little-MTS,Round,"Cincinnati, OH; Chicago, IL; New York, NY",1892,Little Sacred Songs for Little Singers,-84.45;-87.65;-74,39.15;41.85;40.7
1891-Cabina-MTS,Round,"New York, NY; London, England",1891,Cabin and Plantation Songs,-74;-.093145,40.7;51.514248
1889-Songso-MTS,Round,"Dayton, OH",1889,Songs of the Morning,-84.1833,39.75
1889-Herber-MTS,Round,"Cincinnati, OH",1889,Herbert's Anthems,-84.45,39.15
1888-Modern-MTS,Round,"Cincinnati, OH;Chicago, IL;New York, NY",1888,"Modern Anthems, Vol. 1",-84.45;-87.65;-74,39.15;41.85;40.7
1888-Garner-MTS,Round,"Harrisburg, PA",1888,Garnered Sheaves,-76.8833,40.2667
1888-Deutsc-MTS,Round,"Cincinnati, OH;Chicago, IL;Kansas City, MO;San Francisco, CA;New York, NY;Boston, MA;Pittsburg[h], PA;Detroit, MI",1888,Deutsches Gesang und Melodienbuch,-84.45;-87.65;-94.5667;-122.4167;-74;-71.05;-79.9833;-83.0333,39.15;41.85;39.0833;37.7667;40.7;42.35;40.4333;42.3167
1887-Triump-MTS,Round,"Chicago, IL",1887,Triumphant Songs,-87.65,41.85
1887-Songso-MTS,Round,"Cincinnati, OH; Chicago, IL; St. Louis, MO; Philadelphia, PA",1887,Songs of Redeeming Love No. 2,-84.45;-87.65;-90.1833;-75.15,39.15;41.85;38.6167;39.95
1887-Musica-MTS,Round,"Macon, GA",1887,Musical Notation,-83.6167,32.8333
1887-Empire-MTS,Round,"Cincinnati, OH; Chicago, IL; New York, NY",1887,The Empire of Song,-84.45;-87.65;-73.9667,39.15;41.85;40.7833
1886-Flower-MTS,Round,"Cincinnati, OH; Chicago, IL; New York, NY",1886,Flower Praise,-84.45;-87.65;-73.9667,39.15;41.85;40.7833
1885-McPhai-MTS,Round,"Cincinnati, OH;Chicago, IL;New York, NY",1885,McPhail's Anthems,-84.45;-87.65;-73.9667,39.15;41.85;40.7833
1885-Herber-MTS,Round,"Cincinnati, OH",1885,Herbert's Bible Anthems,-84.45,39.15
1884-Lieder-MTS,Round,"Cincinnati, OH",1884,Liederlust und Psalter,-84.45,39.15
1884-Englis-MTS,Round,"New York, NY;Cincinnati, OH",1884,English and Latin Hymns,-74;-84.45,40.7;39.15
1883-Hallel-MTS,Round,"Cleveland, OH",1883,Halleluja,-81.6833,41.4833
1882-Tribut-MTS,Round,"Pittsburgh, PA; Baltimore, MD",1882,The Tribute of Praise,-79.9833;-76.6,40.4333;39.2833
1882-Songso-MTS,Round,"Dayton, OH",1882,Songs of the Kingdom,-84.1833,39.75
1882-Lieder-MTS,Nil,"St. Louis, MO;Chicago, IL",1882,Liederbuch f??r Sonntagsschulen,-90.1833;-87.65,38.6167;41.85
1882-Davids-MTS,Round,"Cincinnati, OH;Chicago, IL",1882,"David, The Shepherd Boy",-84.45;-87.65,39.15;41.85
1881-Hearta-MTS,Round,"Cincinnati, OH",1881,Heart and Voice,-84.45,39.15
1881-Gemofg-MTS,Round,"New York, NY",1881,The Gem of Gems,-73.9667,40.7833
1880-Undert-MTS,Round,"Cincinnati, OH",1880,Under the Palms,-84.45,39.15
1880-Gateso-MTS,Round,"Dayton, OH",1880,Gates of Praise,-84.1833,39.75
1878-Univer-MTS,Nil,"Philadelphia, PA",1878,University Singers of New Orleans,-75.15,39.95
1878-Precio-MTS,Round,"Altoona, PA",1878,Precious Jewels,-78.3833,40.5167
1878-Heaven-MTS,Round,"Dayton, OH",1878,Heavenly Carols,-84.1833,39.75
1878-Harves-MTS,Round,"Cincinnati, OH;Chicago, IL",1878,The Harvest of Song,-84.45;-87.65,39.15;41.85
1877-Songso-MTS,Numeral staff,"Cincinnati, OH",1877,Songs of Gratitude,-84.45,39.15
1876-Spirit-MTS,Round,"Dayton, OH",1876,Spiritual Hymns,-84.1833,39.75
1876-Songhe-MTS,Round,"Cincinnati, OH;Chicago, IL",1876,The Song Herald,-84.45;-87.65,39.15;41.85
1874-Songer-MTS,Round,"Cincinnati, OH;Chicago, IL",1874,The Song Era,-84.45;-87.65,39.15;41.85
1874-Melodi-MTS,Round,"Cincinnati, OH",1874,Melodies of Heaven,-84.45,39.15
1874-Corone-MTS,Seven-shape Funk,"Singers Glen, VA",1874,The Coronet,-78.9,38.55
1874-Cabina-MTS,Round,"New York, NY",1874,Hampton And Its Students,-74,40.7
1873-Manner-MTS,Round,"Cincinnnati, OH;Chicago, IL",1873,The M??nnerchor,-84.45;-87.65,39.15;41.85
1872-Puredi-MTS,Round,"Cleveland, OH",1872,Pure Diamonds,-81.6833,41.4833
1871-Truesi-MTS,Round,"Cincinnati, OH",1871,The True Singing School Text Book,-84.45,39.15
1871-Crowno-MTS,Round,"Cincinnati, OH",1871,The Crown of Sunday School Songs,-84.45,39.15
1871-Charmc-MTS,Round,"Chicago, IL",1871,The Charm,-87.65,41.85
1870-WestVi-MTS,Seven-shape Funk,"Pennsboro, WV",1870,West Virginia Gems,-80.9667,39.2833
1870-Sacred-MTS,Four-shape,"Atlanta, GA",1870,The Sacred Harp,-84.3833,33.7333
1869-Christ-MTS,Nil,"Dayton, OH",1869,The Christian Hymn Book,-84.1833,39.75
1867-Songso-MTS,Round,"Richmond, VA",1867,Songs of Praise,-77.45,37.55
1867-Jugend-MTS,Round,"Cincinnati, OH;Chicago, IL;St. Louis, MO;New York, NY",1867,Jugend-harfe,-84.45;-87.65;-90.1833;-74,39.15;41.85;38.6167;40.7
1867-Chants-MTS,Round,"Philadelphia, PA",1867,Chants and Responses,-75.15,39.95
1864-Devoti-MTS,Round,"Philadelphia, PA",1864,The Devotional Hymn and Tune Book,-75.15,39.95
1860-Church-MTS,Round,"New York, NY;Chicago, IL;Cincinnati, OH;Boston, MA",1860,Church Melodies,-73.9667;-87.65;-84.45;-71.05,40.7833;41.85;39.15;42.35
1859-Songsf-MTS,Round,"Boston, MA;Chicago, IL;Cincinnati, OH",1859,Songs for the Sabbath School and Vestry,-71.05;-87.65;-84.45,42.35;41.85;39.15
1854-Church-MTS,Nil,"New York, NY;Chicago, IL;Buffalo, NY;Auburn, NY;Detroit, MI;Cincinnati, OH",1854,The Church Psalmist,-73.9667;-87.65;-78.8667;-76.55;-83.0333;-84.45,40.7833;41.85;42.8833;42.9167;42.3167;39.15
